notebook,cell_index,classification,status,target_doc,pre_phase5_location,preview,notes
00_data-prep.ipynb,0,interpretation guidance,mapped,guides/diagnostics-playbook,gap,# Forest estate modelling input data prep (BC RIA landbase) This notebook (and everything else in this project) was designed and implemented by Gregory Paradis (gregory.paradis@ubc,
00_data-prep.ipynb,1,step intent,mapped,guides/stage-00-data-prep,gap,"Clone the correct branch of the ArcRasterRescue repository from GitHub, and compile the executable.",
00_data-prep.ipynb,2,step intent,mapped,guides/stage-00-data-prep,gap,Import required packages.,
00_data-prep.ipynb,4,step intent,mapped,guides/stage-00-data-prep,gap,Set global notebook parameters.,
00_data-prep.ipynb,6,step intent,mapped,guides/stage-00-data-prep,gap,Launch and set up `ipyparallel` cluster on the VM. We will deploy parallel processing jobs to this cluster at various stages in the process to speed up processing (take advantage o,
00_data-prep.ipynb,8,step intent,mapped,guides/stage-00-data-prep,gap,Define path strings and such.,
00_data-prep.ipynb,10,step intent,mapped,guides/stage-00-data-prep,gap,Define lists grouping species codes by genus.,
00_data-prep.ipynb,12,step intent,mapped,guides/stage-00-data-prep,gap,Download and compile ArcRasterRescue package. We will use this later to extract raster data from proprietary ESRI File Geodatabase.,
00_data-prep.ipynb,14,step intent,mapped,guides/stage-00-data-prep,gap,"Load TSA boundary data for the 5 TSAs in the RIA landbase (TSAs 08, 16, 24, 40, 41) and compile a single polygon defining RIA landbase extent. We simplify the boundary geometry for",
00_data-prep.ipynb,16,step intent,mapped,guides/stage-00-data-prep,gap,"Load VRI features (_vegetation composite layer and R1 polygon_ dataset), masked to RIA landbase extent. Cache a copy of result to a feather file (can later be imported to speed up ",
00_data-prep.ipynb,18,step intent,mapped,guides/stage-00-data-prep,gap,"Extract site productivity raster data from proprietary ESRI File Geodatabase, and export it to species-wise GeoTIFF layers, patch the missing CRS metadata, and stack everything int",
00_data-prep.ipynb,20,step intent,mapped,guides/stage-00-data-prep,gap,Define a species code lookup dict to map VRI species codes to one of the 22 siteprod species codes. We built the key list for this dict by compiling unique values from the `SPECIES,
00_data-prep.ipynb,22,step intent,mapped,guides/stage-00-data-prep,gap,"Clean and filter VRI feature dataset. This includes replacing null data values in certain columns with specific non-null values ('X' or 0, depending on field type) to ensure that d",
00_data-prep.ipynb,23,step intent,mapped,guides/stage-00-data-prep,gap,"Then, for each feature in the VRI dataaset, extract mean SI data from the pixels in the siteprod raster layer corresponding the leading species. This step is computationally intens",
00_data-prep.ipynb,25,step intent,mapped,guides/stage-00-data-prep,gap,VRI data includes merchantable growing stock (per ha) and species codes for the top 7 species in each stand. We recompile the volume data into species-wise columns (using species c,
00_data-prep.ipynb,28,step intent,mapped,guides/stage-00-data-prep,gap,Define some utility functions that we will use later to classify VRI records.,
00_data-prep.ipynb,30,step intent,mapped,guides/stage-00-data-prep,gap,"Next we define a function to generate stratum codes for a given VRI record `r`. In standard (not lexmatch) mode, this function will generate a stratum code string including BEC zon",
00_data-prep.ipynb,32,assumptions,mapped,guides/stage-00-data-prep,gap,"Compile enhanced lexmatch fields as described above, and use the `stratify_stands` function to compile `stratum` and `stratum_lexmatch` columns. We use the `swifter` version of the",
00_data-prep.ipynb,35,step intent,mapped,guides/stage-00-data-prep,gap,"Compile `forest_type` column (1: softwood, 2: softwood mix, 3: hardwood mix, 4: hardwood).",
00_data-prep.ipynb,37,step intent,mapped,guides/diagnostics-playbook,gap,Save checkpoint 4 stand dataframe to feather file.,
00_data-prep.ipynb,40,step intent,mapped,guides/stage-00-data-prep,gap,"We are done with inventory data pre-processing now. In the next part of the procedure, we define strata and analysis units (AUs) within each TSA, and generate VDYP and TIPSY yield ",
00_data-prep.ipynb,41,step intent,mapped,guides/stage-00-data-prep,gap,"# Compile strata, AUs, and yield curves for each TSA",
00_data-prep.ipynb,43,step intent,mapped,guides/stage-00-data-prep,gap,Define some empty dicts to store various outputs from the following steps.,
00_data-prep.ipynb,46,step intent,mapped,guides/stage-00-data-prep,gap,"Define some keyword argument override values, to fine-tune curve generation for a few difficult AUs. Most AUs get processed without problems using default parameters. We found thes",
00_data-prep.ipynb,51,step intent,mapped,guides/pipeline-overview,gap,Loop over TSAs and run notebook `01a_run-tsa`.,
00_data-prep.ipynb,53,step intent,mapped,guides/pipeline-overview,gap,"Loop over TSAs and run the child notebook. This will compile strata and AUs, run VDYP on each AU and compile yield curves, and generate TIPSY input files. VDYP runs individually on",
00_data-prep.ipynb,56,operator action,mapped,guides/limitations-and-boundaries,gap,"Pause running notebook and head to a Windows machine to run `02_input-tsa*.dat` files through BatchTIPSY, then copy `04_output-tsa*.out` files to `./data/`. We tried to get TIPSY t",
00_data-prep.ipynb,57,interpretation guidance,mapped,guides/pipeline-overview,gap,"Loop over TSAs and run notebook `01b_run-tsa`. This compiles output data from TIPSY, and plots results on top of smoothed VDYP output (for visual inspection of AU-wise unmanaged+ma",
00_data-prep.ipynb,60,step intent,mapped,guides/model-input-bundle-and-export,gap,# Export curves to CSV data tables (for soft-link to `spadesCBM`),
00_data-prep.ipynb,61,failure mode,mapped,guides/model-input-bundle-and-export,gap,"Failed attempt to automate translating VRI species codes to CANFI species codes. Could potentially work later, if the `LandR_sppEquivalencies.csv` data table was set up correctly t",
00_data-prep.ipynb,63,step intent,mapped,guides/model-input-bundle-and-export,gap,"Define a dict mapping VRI species codes to CANFI species codes (`spadesCBM` uses CANFI species codes), and a function that returns CANFI code for leading species given a stratum co",
00_data-prep.ipynb,66,step intent,mapped,guides/model-input-bundle-and-export,gap,"Define some empty data structures to store output, and compile three data tables that will be used to import yield curve data into `spadesCBM`.",
00_data-prep.ipynb,68,interpretation guidance,mapped,guides/model-input-bundle-and-export,gap,Display the first few lines of each table (quick sanity check).,
00_data-prep.ipynb,72,step intent,mapped,guides/model-input-bundle-and-export,gap,Export tables to CSV for soft-link with `spadesCBM`.,
00_data-prep.ipynb,74,step intent,mapped,guides/stage-00-data-prep,gap,# Impute THLB status to VRI stands,
00_data-prep.ipynb,75,failure mode,mapped,guides/stage-00-data-prep,gap,"In this next section we impute timber harvesting landbase (THLB) status to the VRI stands. The process may seem very complex (because it is), however this is to _only_ (therefore s",
00_data-prep.ipynb,76,step intent,mapped,guides/diagnostics-playbook,gap,"Restore the VRI dataset from checkpoint 1, and filter records to include only the forested features to which we want to impute an AU and managment status.",
00_data-prep.ipynb,78,interpretation guidance,mapped,guides/stage-00-data-prep,gap,We found a [THLB raster data layer]:(https://www.hectaresbc.org/app/habc/HaBC.html?type=raster&query=misc.thlb) on the [Hectares BC]:(https://hectaresbc.ca/app/habc/HaBC.html) web ,
00_data-prep.ipynb,80,failure mode,retired,guides/limitations-and-boundaries,gap,"This is from an earlier (failed) attempt to impute a binary THLB attribute to VRI data directly from a data layer from a previous (PICS BC forest carbon) project. No dice (runs, bu","Legacy experimental path retained for historical context, not active workflow."
00_data-prep.ipynb,82,step intent,mapped,guides/stage-00-data-prep,gap,Filter VRI data.,
00_data-prep.ipynb,84,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Check row and column count.,
00_data-prep.ipynb,86,step intent,mapped,guides/stage-00-data-prep,gap,Compile standard and lexmatch stratum fields.,
00_data-prep.ipynb,92,assumptions,mapped,guides/stage-00-data-prep,gap,"Compile `stratum_matched` column. For stands in one of the compiled strata in each TSA (and filtered records that happen to have a stratum code in the list of compiled strata), we ",
00_data-prep.ipynb,94,step intent,mapped,guides/stage-00-data-prep,gap,"Compile a dataframe of stratum-wise site index (SI) statistics, and then use this to assign `si_level` (H, M, L) attribute to each stand, based on stratum-level SI quantiles.",
00_data-prep.ipynb,97,step intent,mapped,guides/stage-00-data-prep,gap,Assign an AU identifier code to each inventory record.,
00_data-prep.ipynb,100,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Check dataframe shape.,
00_data-prep.ipynb,102,step intent,mapped,guides/stage-00-data-prep,gap,Filter out records with null AU.,
00_data-prep.ipynb,104,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Check dataframe shape.,
00_data-prep.ipynb,106,step intent,mapped,guides/stage-00-data-prep,gap,Serialize dataframe to feather file.,
00_data-prep.ipynb,109,step intent,mapped,guides/stage-00-data-prep,gap,"Compile two new columns assigning a yield curve ID to each inventory record. `curve1` uses managed (TIPSY) curves if applicable (i.e., if age is 60 or less and has a managed yield ",
01a_run-tsa.ipynb,0,step intent,mapped,guides/limitations-and-boundaries,gap,# Compile strata and yield curves for a given TSA This notebook compiles stata and yield curves for a given TSA. Typically this notebook is called from parent notebook `00_data-pre,
01a_run-tsa.ipynb,3,assumptions,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Set target number of strata for each TSA. This requires expert judgement. Try setting n to a relatively high number (e.g., 50) for a given TSA, then compile strata and inspect the ",
01a_run-tsa.ipynb,6,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Compile stats for top n strata.,
01a_run-tsa.ipynb,9,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot histogram of media SI values in top n strata.,
01a_run-tsa.ipynb,11,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot scatter of stratum relative area coverage (x) versus SI (y) to confirm that there is no obvious correlation between stratum abundance and SI (so we can safely merge the small ,
01a_run-tsa.ipynb,13,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot SI distribution and relative abundance by stratum for the top n strata.,
01a_run-tsa.ipynb,15,assumptions,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Match small strata to top n strata. We use Levenshtein distance to match augmented stratum codes to good candidates in the top n strata, and pick the biggest one if multiple matche",
01a_run-tsa.ipynb,21,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define some fit functions which we will use later to smooth the wobbles out of the VDYP yield curves.,
01a_run-tsa.ipynb,23,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Compile site index (SI) stats, including quantile levels.",
01a_run-tsa.ipynb,25,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function that compiles 3 yield curves for each stratum (corresponding to low/medium/high SI qualile levels).,
01a_run-tsa.ipynb,27,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Compile strata.,
01a_run-tsa.ipynb,29,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to create out VDYP input files from VDYP polygon and layer datasets.,
01a_run-tsa.ipynb,31,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to read and parse VDYP output files (returns a list of dataframes).,
01a_run-tsa.ipynb,33,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to estimate the VRI polygon sample size required to estimate yield within MOE target window (at optimal rotation age).,
01a_run-tsa.ipynb,35,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to run VDYP. Uses `wine` to run VDYP on an Ubuntu linux server.,
01a_run-tsa.ipynb,37,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Load _VDYP polygon_ VRI dataset (layer 0 in _VDYP poly and layer_ File Geodatabase).,
01a_run-tsa.ipynb,39,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Load _VDYP layer_ VRI dataset (layer 1 in _VDYP poly and layer_ File Geodatabase).,
01a_run-tsa.ipynb,41,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Loop over the strata and run VDYP, using the bootstrap sampling functions to achieve MOE target to minimize the number of polygons that need to be run for each stratum. Note that t",
01a_run-tsa.ipynb,43,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define some new functions we will use below to smooth aggregated VDYP output for each stratum.,
01a_run-tsa.ipynb,46,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,## TIPSY yield curves,
01a_run-tsa.ipynb,47,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"In this section we define AUs that should be modelled in TIPSY for each TSA, and compile the TISPY input parameter sets for each AU. Note that the process currently requires an exp",
01a_run-tsa.ipynb,48,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define groups of species codes.,
01a_run-tsa.ipynb,51,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Define TSA-wise TIPSY AU exclusion criteria (i.e., minimum SI, minimum peak volume, excluded BEC zones, excluded leading species).",
01a_run-tsa.ipynb,53,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Output data needed to define TIPSY AUs.,
01a_run-tsa.ipynb,59,operator action,mapped,guides/limitations-and-boundaries,gap,"Pause running notebook and head to a Windows machine to run `02_input-tsa*.dat` through BatchTIPSY, then copy `04_output-tsa*.out` to `./data/` and run notebook `01b_run-tsa`.",
01b_run-tsa.ipynb,0,step intent,mapped,guides/stage-01b-post-tipsy,gap,"# Post-process TIPSY output The code in this notebook post-processes raw output from batch TIPSY, an saves",
01b_run-tsa.ipynb,3,interpretation guidance,mapped,guides/diagnostics-playbook,gap,"Plot VDYP and TIPSY curves side-by-side for each AU, to help visually validate that AU-wise yield projections are reasonable (and suitable for use downstream as input in landscape-",
