LAYER_RCRD_ID,POLYGON_RCRD_ID,LAYER_ID,VDYP7_LAYER_ID,RANK_CODE,NON_FOREST_DESC,MEAS_UTIL_LEVEL,CC,BA,TPH,EST_SI_SPCS,EST_SI 
1,188943,"1",,"1",,7.500000,50.000000,15.000000,200.000000,,
2,188944,"1",,"1",,7.500000,40.000000,10.000000,85.000000,,
3,188975,"1",,"1",,7.500000,50.000000,15.000000,100.000000,,
4,188990,"1",,"1",,7.500000,45.000000,30.000000,125.000000,,
5,188995,"1",,"1",,7.500000,20.000000,10.000000,55.000000,,
6,189006,"1",,"1",,7.500000,65.000000,35.000000,900.000000,,
7,189025,"1",,"1",,7.500000,30.000000,20.000000,75.000000,,
8,189029,"1",,"1",,7.500000,15.000000,7.000000,55.000000,,
9,189032,"1",,"1",,7.500000,80.000000,40.000000,2500.000000,,
10,189049,"1",,"1",,7.500000,70.000000,25.000000,2000.000000,,
11,189070,"1",,"1",,7.500000,60.000000,25.000000,210.000000,,
12,189071,"1",,"1",,7.500000,40.000000,15.000000,125.000000,,
13,189095,"1",,"1",,7.500000,75.000000,37.000000,2200.000000,,
14,189098,"1",,"1",,7.500000,40.000000,17.000000,100.000000,,
15,189100,"1",,"1",,7.500000,10.000000,5.000000,100.000000,,
16,189111,"1",,"1",,7.500000,30.000000,20.000000,85.000000,,
17,189113,"1",,"1",,7.500000,2.000000,0.000000,5.000000,,
18,189130,"1",,"1",,7.500000,10.000000,0.000000,25.000000,,
19,189134,"1",,"1",,7.500000,2.000000,0.000000,6.000000,,
20,189143,"1",,"1",,7.500000,40.000000,37.000000,235.000000,,
21,189143,"2",,,,7.500000,20.000000,5.000000,200.000000,,
22,189149,"1",,"1",,7.500000,40.000000,8.000000,200.000000,,
23,189153,"1",,"1",,7.500000,80.000000,32.000000,1500.000000,,
24,189154,"1",,"1",,7.500000,10.000000,2.000000,15.000000,,
25,189155,"1",,"1",,7.500000,15.000000,5.000000,20.000000,,
26,189166,"1",,"1",,7.500000,60.000000,20.000000,225.000000,,
27,189185,"1",,"1",,7.500000,2.000000,0.000000,6.000000,,
28,189188,"1",,"1",,7.500000,65.000000,37.000000,250.000000,,
29,189190,"1",,,,7.500000,2.000000,5.000000,80.000000,,
30,189190,"2",,,,7.500000,2.000000,0.000000,310.000000,,
31,189206,"1",,"1",,7.500000,70.000000,30.000000,1500.000000,,
32,189213,"1",,"1",,7.500000,70.000000,40.000000,1700.000000,,
33,189214,"1",,"1",,7.500000,15.000000,4.000000,50.000000,,
34,189222,"1",,"1",,7.500000,60.000000,10.000000,250.000000,,
35,189251,"1",,"1",,7.500000,50.000000,25.000000,185.000000,,
36,189253,"1",,"1",,7.500000,2.000000,1.000000,7.000000,,
37,189273,"1",,"1",,7.500000,80.000000,15.000000,1200.000000,,
38,189275,"1",,"1",,7.500000,55.000000,17.000000,110.000000,,
39,189288,"1",,"1",,7.500000,60.000000,20.000000,200.000000,,
40,189289,"1",,"1",,7.500000,30.000000,12.000000,75.000000,,
41,189295,"1",,"1",,7.500000,60.000000,45.000000,225.000000,,
42,189298,"1",,"1",,7.500000,60.000000,40.000000,1300.000000,,
43,189313,"1",,"1",,7.500000,60.000000,35.000000,1200.000000,,
44,189319,"1",,"1",,7.500000,55.000000,35.000000,225.000000,,
45,189324,"1",,"1",,7.500000,30.000000,15.000000,85.000000,,
46,189328,"1",,"1",,7.500000,40.000000,25.000000,110.000000,,
47,189329,"1",,"1",,7.500000,35.000000,7.000000,90.000000,,
48,189334,"1",,"1",,7.500000,60.000000,30.000000,175.000000,,
49,189342,"1",,"1",,7.500000,60.000000,45.000000,250.000000,,
50,189343,"1",,"1",,7.500000,30.000000,25.000000,110.000000,,
51,189348,"1",,"1",,7.500000,45.000000,39.000000,125.000000,,
52,189350,"1",,"1",,7.500000,40.000000,38.000000,110.000000,,
53,189352,"1",,"1",,7.500000,3.000000,0.000000,11.000000,,
54,189358,"1",,"1",,7.500000,20.000000,4.000000,55.000000,,
55,189371,"1",,"1",,7.500000,30.000000,6.000000,45.000000,,
56,189391,"1",,"1",,7.500000,15.000000,5.000000,35.000000,,
57,189392,"1",,"1",,7.500000,10.000000,1.000000,282.000000,,
58,189412,"1",,"1",,7.500000,70.000000,35.000000,1800.000000,,
59,189413,"1",,"1",,7.500000,40.000000,35.000000,125.000000,,
60,189431,"1",,"1",,7.500000,70.000000,30.000000,2000.000000,,
61,189432,"1",,"1",,7.500000,60.000000,35.000000,650.000000,,
62,189433,"1",,"1",,7.500000,80.000000,32.000000,1500.000000,,
63,189436,"1",,"1",,7.500000,65.000000,10.000000,1300.000000,,
64,189442,"1",,"1",,7.500000,75.000000,30.000000,2000.000000,,
65,189466,"1",,"1",,7.500000,55.000000,30.000000,200.000000,,
66,189485,"1",,"1",,7.500000,30.000000,15.000000,55.000000,,
67,189485,"2",,,,7.500000,2.000000,0.000000,310.000000,,
68,189491,"1",,,,7.500000,10.000000,2.000000,15.000000,,
69,189491,"2",,"1",,7.500000,70.000000,10.000000,2500.000000,,
70,189501,"1",,"1",,7.500000,10.000000,4.000000,25.000000,,
71,189505,"1",,"1",,7.500000,75.000000,25.000000,2000.000000,,
72,189520,"1",,"1",,7.500000,40.000000,15.000000,500.000000,,
73,189521,"1",,"1",,7.500000,80.000000,32.000000,1500.000000,,
74,189522,"1",,"1",,7.500000,50.000000,15.000000,150.000000,,
75,189536,"1",,"1",,7.500000,20.000000,15.000000,35.000000,,
76,189536,"2",,,,7.500000,30.000000,5.000000,100.000000,,
77,189554,"1",,"1",,7.500000,9.000000,0.000000,40.000000,,
78,189567,"1",,"1",,7.500000,80.000000,40.000000,2500.000000,,
79,189572,"1",,"1",,7.500000,60.000000,45.000000,200.000000,,
80,189579,"1",,"1",,7.500000,50.000000,15.000000,750.000000,,
81,189594,"1",,"1",,7.500000,5.000000,2.000000,12.000000,,
82,189599,"1",,,,7.500000,5.000000,5.000000,50.000000,,
83,189599,"2",,"1",,7.500000,50.000000,10.000000,1150.000000,,
84,189640,"1",,"1",,7.500000,30.000000,15.000000,85.000000,,
85,189662,"1",,"1",,7.500000,65.000000,20.000000,450.000000,,
86,189667,"1",,"1",,7.500000,50.000000,20.000000,225.000000,,
87,189674,"1",,"1",,7.500000,60.000000,38.000000,300.000000,,
88,189675,"1",,"1",,7.500000,60.000000,45.000000,2000.000000,,
89,189684,"1",,"1",,7.500000,40.000000,35.000000,125.000000,,
90,189689,"1",,"1",,7.500000,20.000000,15.000000,35.000000,,
91,189689,"2",,,,7.500000,55.000000,10.000000,225.000000,,
92,189701,"1",,"1",,7.500000,60.000000,38.000000,142.000000,,
93,189705,"1",,"1",,7.500000,50.000000,30.000000,250.000000,,
94,189715,"1",,"1",,7.500000,40.000000,15.000000,125.000000,,
95,189718,"1",,"1",,7.500000,60.000000,17.000000,150.000000,,
96,189719,"1",,"1",,7.500000,40.000000,25.000000,85.000000,,
97,189721,"1",,"1",,7.500000,10.000000,2.000000,20.000000,,
98,189736,"1",,"1",,7.500000,60.000000,20.000000,500.000000,,
99,189737,"1",,"1",,7.500000,80.000000,30.000000,2000.000000,,
100,189749,"1",,,,7.500000,3.000000,0.000000,10.000000,,
101,189749,"2",,"1",,7.500000,80.000000,40.000000,3000.000000,,
102,189751,"1",,"1",,7.500000,15.000000,5.000000,25.000000,,
103,189840,"1",,"1",,7.500000,80.000000,,,,
104,189915,"1",,"1",,7.500000,60.000000,,,,
105,189989,"1",,"1",,7.500000,80.000000,,,,
106,190001,"1",,"1",,7.500000,60.000000,,,,
107,190034,"1",,"1",,7.500000,50.000000,,,,
108,190092,"1",,"1",,7.500000,80.000000,,,,
109,190109,"1",,"1",,7.500000,50.000000,,,,
110,190113,"1",,"1",,7.500000,40.000000,,,,
111,190120,"1",,"1",,7.500000,80.000000,,,,
112,190149,"1",,"1",,7.500000,10.000000,,,,
113,190225,"1",,,,7.500000,5.000000,3.000000,30.000000,,
114,190225,"2",,"1",,7.500000,40.000000,5.000000,550.000000,,
115,190254,"1",,,,7.500000,5.000000,5.000000,50.000000,,
116,190254,"2",,"1",,7.500000,50.000000,10.000000,1150.000000,,
117,190313,"1",,,,7.500000,5.000000,2.000000,25.000000,,
118,190313,"2",,"1",,7.500000,40.000000,5.000000,750.000000,,
119,190404,"1",,"1",,7.500000,35.000000,5.000000,250.000000,,
120,190419,"1",,"1",,7.500000,10.000000,1.000000,25.000000,,
121,190433,"1",,"1",,7.500000,60.000000,40.000000,1250.000000,,
122,190464,"1",,"1",,7.500000,9.000000,0.000000,40.000000,,
123,190471,"1",,"1",,7.500000,40.000000,15.000000,500.000000,,
124,190472,"1",,"1",,7.500000,60.000000,15.000000,1500.000000,,
125,190485,"1",,"1",,7.500000,60.000000,25.000000,1500.000000,,
126,190496,"1",,"1",,7.500000,60.000000,10.000000,1350.000000,,
127,190520,"1",,"1",,7.500000,40.000000,15.000000,500.000000,,
128,190531,"1",,"1",,7.500000,60.000000,50.000000,1400.000000,,
129,190661,"1",,"1",,7.500000,40.000000,15.000000,750.000000,,
130,190677,"1",,"1",,7.500000,2.000000,0.000000,10.000000,,
131,190689,"1",,"1",,7.500000,30.000000,5.000000,400.000000,,
132,190768,"1",,"1",,7.500000,60.000000,30.000000,1500.000000,,
133,190769,"1",,"1",,7.500000,60.000000,25.000000,1500.000000,,
134,190778,"1",,"1",,7.500000,25.000000,5.000000,450.000000,,
135,190854,"1",,,,7.500000,10.000000,5.000000,40.000000,,
136,190854,"2",,"1",,7.500000,40.000000,10.000000,1000.000000,,
137,190867,"1",,"1",,7.500000,60.000000,15.000000,1000.000000,,
138,190929,"1",,"1",,7.500000,50.000000,25.000000,1100.000000,,
139,190941,"1",,"1",,7.500000,5.000000,0.000000,20.000000,,
140,191012,"1",,"1",,7.500000,5.000000,2.000000,20.000000,,
141,191020,"1",,"1",,7.500000,60.000000,50.000000,1400.000000,,
142,191049,"1",,"1",,7.500000,2.000000,0.000000,10.000000,,
143,191075,"1",,"1",,7.500000,25.000000,3.000000,400.000000,,
144,191124,"1",,"1",,7.500000,10.000000,1.000000,282.000000,,
145,191127,"1",,"1",,7.500000,2.000000,0.000000,10.000000,,
146,191169,"1",,"1",,7.500000,5.000000,1.000000,20.000000,,
147,191179,"1",,"1",,7.500000,50.000000,35.000000,1200.000000,,
148,191237,"1",,"1",,7.500000,35.000000,5.000000,250.000000,,
149,191244,"1",,"1",,7.500000,5.000000,1.000000,10.000000,,
150,191357,"1",,"1",,7.500000,50.000000,9.000000,850.000000,,
151,196905,"1",,"1",,7.500000,60.000000,10.000000,1000.000000,,
152,196906,"1",,"1",,7.500000,70.000000,15.000000,1250.000000,,
153,196907,"1",,"1",,7.500000,60.000000,15.000000,500.000000,,
154,196908,"1",,"1",,7.500000,15.000000,1.000000,125.000000,,
155,196909,"1",,"1",,7.500000,40.000000,5.000000,500.000000,,
156,196910,"1",,"1",,7.500000,30.000000,3.000000,250.000000,,
157,196911,"1",,"1",,7.500000,60.000000,15.000000,750.000000,,
158,196912,"1",,"1",,7.500000,60.000000,15.000000,1500.000000,,
159,196913,"1",,"1",,7.500000,50.000000,10.000000,1000.000000,,
160,196914,"1",,"1",,7.500000,30.000000,2.000000,550.000000,,
161,196915,"1",,"1",,7.500000,15.000000,1.000000,200.000000,,
162,196916,"1",,"1",,7.500000,60.000000,40.000000,1400.000000,,
163,196917,"1",,"1",,7.500000,60.000000,15.000000,1100.000000,,
164,196918,"1",,,,7.500000,5.000000,2.000000,15.000000,,
165,196918,"2",,"1",,7.500000,60.000000,5.000000,1100.000000,,
166,196919,"1",,"1",,7.500000,20.000000,1.000000,250.000000,,
167,196920,"1",,,,7.500000,4.000000,3.000000,30.000000,,
168,196920,"2",,"1",,7.500000,60.000000,5.000000,1600.000000,,
169,196921,"1",,"1",,7.500000,60.000000,20.000000,1450.000000,,
170,196922,"1",,"1",,7.500000,30.000000,5.000000,350.000000,,
171,196923,"1",,"1",,7.500000,40.000000,5.000000,800.000000,,
172,196924,"1",,"1",,7.500000,60.000000,15.000000,1400.000000,,
173,196925,"1",,"1",,7.500000,50.000000,40.000000,1400.000000,,
174,196926,"1",,"1",,7.500000,60.000000,30.000000,1400.000000,,
175,196927,"1",,"1",,7.500000,30.000000,2.000000,500.000000,,
176,196928,"1",,"1",,7.500000,50.000000,30.000000,1100.000000,,
177,196929,"1",,"1",,7.500000,40.000000,5.000000,250.000000,,
178,196930,"1",,"1",,7.500000,30.000000,3.000000,300.000000,,
179,196931,"1",,"1",,7.500000,30.000000,2.000000,250.000000,,
180,196932,"1",,"1",,7.500000,60.000000,20.000000,1400.000000,,
181,196933,"1",,"1",,7.500000,5.000000,0.000000,20.000000,,
182,196934,"1",,"1",,7.500000,15.000000,3.000000,150.000000,,
183,196934,"2",,,,7.500000,35.000000,3.000000,750.000000,,
184,196935,"1",,"1",,7.500000,60.000000,25.000000,1200.000000,,
185,196936,"1",,"1",,7.500000,20.000000,1.000000,150.000000,,
186,196937,"1",,"1",,7.500000,30.000000,2.000000,350.000000,,
187,196938,"1",,"1",,7.500000,20.000000,3.000000,35.000000,,
188,196938,"2",,,,7.500000,40.000000,3.000000,1000.000000,,
189,196939,"1",,,,7.500000,5.000000,3.000000,10.000000,,
190,196939,"2",,"1",,7.500000,60.000000,15.000000,1600.000000,,
191,196940,"1",,"1",,7.500000,20.000000,2.000000,200.000000,,
192,196941,"1",,"1",,7.500000,50.000000,55.000000,1400.000000,,
193,196942,"1",,"1",,7.500000,50.000000,15.000000,800.000000,,
194,196943,"1",,"1",,7.500000,60.000000,15.000000,1400.000000,,
195,196944,"1",,"1",,7.500000,60.000000,20.000000,1150.000000,,
196,196945,"1",,"1",,7.500000,50.000000,20.000000,1150.000000,,
197,196946,"1",,"1",,7.500000,40.000000,15.000000,650.000000,,
198,196947,"1",,"1",,7.500000,50.000000,20.000000,1250.000000,,
199,196948,"1",,"1",,7.500000,60.000000,20.000000,1600.000000,,
200,196949,"1",,"1",,7.500000,60.000000,25.000000,1400.000000,,
201,196950,"1",,"1",,7.500000,60.000000,20.000000,1300.000000,,
202,196951,"1",,"1",,7.500000,10.000000,1.000000,75.000000,,
203,196952,"1",,"1",,7.500000,30.000000,3.000000,300.000000,,
204,196953,"1",,"1",,7.500000,50.000000,25.000000,1100.000000,,
205,196954,"1",,"1",,7.500000,50.000000,15.000000,1000.000000,,
206,196955,"1",,"1",,7.500000,70.000000,50.000000,1600.000000,,
207,196956,"1",,"1",,7.500000,60.000000,15.000000,1100.000000,,
208,196957,"1",,"1",,7.500000,60.000000,15.000000,1300.000000,,
209,196958,"1",,"1",,7.500000,10.000000,1.000000,125.000000,,
210,196959,"1",,"1",,7.500000,50.000000,30.000000,1200.000000,,
211,196960,"1",,,,7.500000,3.000000,1.000000,15.000000,,
212,196960,"2",,"1",,7.500000,70.000000,15.000000,1600.000000,,
213,196961,"1",,"1",,7.500000,70.000000,15.000000,1500.000000,,
214,196962,"1",,"1",,7.500000,50.000000,20.000000,1250.000000,,
215,196963,"1",,"1",,7.500000,60.000000,35.000000,287.000000,,
216,196964,"1",,,,7.500000,3.000000,1.000000,10.000000,,
217,196964,"2",,"1",,7.500000,60.000000,10.000000,1000.000000,,
218,196965,"1",,"1",,7.500000,40.000000,5.000000,500.000000,,
219,196966,"1",,,,7.500000,5.000000,2.000000,25.000000,,
220,196966,"2",,"1",,7.500000,70.000000,30.000000,1700.000000,,
221,196967,"1",,"1",,7.500000,10.000000,1.000000,150.000000,,
222,196968,"1",,"1",,7.500000,50.000000,20.000000,950.000000,,
223,196969,"1",,"1",,7.500000,15.000000,1.000000,250.000000,,
224,196970,"1",,"1",,7.500000,60.000000,10.000000,1000.000000,,
225,196972,"1",,,,7.500000,5.000000,5.000000,40.000000,,
226,196972,"2",,"1",,7.500000,60.000000,5.000000,1100.000000,,
227,196973,"1",,"1",,7.500000,70.000000,5.000000,1250.000000,,
228,196974,"1",,"1",,7.500000,10.000000,1.000000,100.000000,,
229,196975,"1",,"1",,7.500000,60.000000,5.000000,1700.000000,,
230,196976,"1",,"1",,7.500000,30.000000,2.000000,550.000000,,
231,196977,"1",,"1",,7.500000,15.000000,3.000000,70.000000,,
232,196978,"1",,"1",,7.500000,50.000000,20.000000,1200.000000,,
233,196979,"1",,"1",,7.500000,15.000000,0.000000,250.000000,,
234,196980,"1",,"1",,7.500000,60.000000,10.000000,1300.000000,,
235,196981,"1",,"1",,7.500000,35.000000,3.000000,300.000000,,
236,196982,"1",,"1",,7.500000,15.000000,1.000000,150.000000,,
237,196983,"1",,"1",,7.500000,20.000000,2.000000,350.000000,,
238,196984,"1",,"1",,7.500000,50.000000,10.000000,1200.000000,,
239,196985,"1",,"1",,7.500000,50.000000,25.000000,1000.000000,,
240,196986,"1",,"1",,7.500000,20.000000,1.000000,150.000000,,
241,196987,"1",,"1",,7.500000,70.000000,20.000000,1500.000000,,
242,196988,"1",,"1",,7.500000,50.000000,60.000000,1200.000000,,
243,196989,"1",,"1",,7.500000,50.000000,20.000000,750.000000,,
244,196990,"1",,"1",,7.500000,60.000000,55.000000,1300.000000,,
245,196991,"1",,"1",,7.500000,70.000000,15.000000,1650.000000,,
246,196992,"1",,"1",,7.500000,60.000000,25.000000,1500.000000,,
247,196993,"1",,"1",,7.500000,60.000000,10.000000,1100.000000,,
248,196994,"1",,"1",,7.500000,30.000000,2.000000,200.000000,,
249,196995,"1",,"1",,7.500000,10.000000,1.000000,175.000000,,
250,196997,"1",,"1",,7.500000,40.000000,2.000000,900.000000,,
251,196998,"1",,"1",,7.500000,70.000000,45.000000,2000.000000,,
252,196999,"1",,"1",,7.500000,60.000000,35.000000,1250.000000,,
253,197000,"1",,,,7.500000,5.000000,3.000000,25.000000,,
254,197000,"2",,"1",,7.500000,50.000000,4.000000,1000.000000,,
255,197001,"1",,"1",,7.500000,60.000000,30.000000,1200.000000,,
256,197002,"1",,"1",,7.500000,60.000000,25.000000,1200.000000,,
257,197003,"1",,"1",,7.500000,50.000000,20.000000,1100.000000,,
258,197004,"1",,"1",,7.500000,60.000000,50.000000,1200.000000,,
259,197005,"1",,"1",,7.500000,45.000000,10.000000,600.000000,,
260,197006,"1",,,,7.500000,5.000000,2.000000,35.000000,,
261,197006,"2",,"1",,7.500000,60.000000,25.000000,1600.000000,,
262,197007,"1",,"1",,7.500000,50.000000,15.000000,950.000000,,
263,197008,"1",,"1",,7.500000,50.000000,15.000000,1000.000000,,
264,197009,"1",,,,7.500000,3.000000,1.000000,15.000000,,
265,197009,"2",,"1",,7.500000,60.000000,10.000000,1000.000000,,
266,197010,"1",,"1",,7.500000,50.000000,15.000000,1200.000000,,
267,197011,"1",,"1",,7.500000,40.000000,5.000000,500.000000,,
268,197012,"1",,"1",,7.500000,60.000000,15.000000,1500.000000,,
269,197013,"1",,"1",,7.500000,60.000000,55.000000,1500.000000,,
270,197014,"1",,"1",,7.500000,25.000000,1.000000,250.000000,,
271,197015,"1",,"1",,7.500000,10.000000,1.000000,150.000000,,
272,197016,"1",,,,7.500000,5.000000,2.000000,25.000000,,
273,197016,"2",,"1",,7.500000,60.000000,20.000000,1500.000000,,
274,197017,"1",,,,7.500000,5.000000,1.000000,50.000000,,
275,197017,"2",,"1",,7.500000,50.000000,15.000000,1000.000000,,
276,197018,"1",,"1",,7.500000,60.000000,15.000000,1550.000000,,
277,197019,"1",,"1",,7.500000,20.000000,2.000000,250.000000,,
278,197020,"1",,"1",,7.500000,50.000000,30.000000,1400.000000,,
279,197021,"1",,"1",,7.500000,60.000000,10.000000,1000.000000,,
280,197022,"1",,"1",,7.500000,60.000000,15.000000,1100.000000,,
281,197023,"1",,"1",,7.500000,5.000000,0.000000,50.000000,,
282,197024,"1",,"1",,7.500000,60.000000,25.000000,1700.000000,,
283,197025,"1",,,,7.500000,3.000000,3.000000,10.000000,,
284,197025,"2",,"1",,7.500000,60.000000,5.000000,750.000000,,
285,197026,"1",,"1",,7.500000,50.000000,15.000000,1050.000000,,
286,197027,"1",,"1",,7.500000,60.000000,25.000000,1300.000000,,
287,197029,"1",,"1",,7.500000,50.000000,20.000000,1200.000000,,
288,197030,"1",,"1",,7.500000,70.000000,35.000000,1500.000000,,
289,197031,"1",,"1",,7.500000,40.000000,15.000000,650.000000,,
290,197031,"2",,,,7.500000,10.000000,3.000000,450.000000,,
291,197032,"1",,"1",,7.500000,70.000000,20.000000,1500.000000,,
292,197033,"1",,"1",,7.500000,50.000000,30.000000,1600.000000,,
293,197034,"1",,"1",,7.500000,20.000000,2.000000,200.000000,,
294,197034,"2",,,,7.500000,20.000000,3.000000,500.000000,,
295,197035,"1",,"1",,7.500000,50.000000,15.000000,850.000000,,
296,197036,"1",,"1",,7.500000,50.000000,15.000000,1100.000000,,
297,197037,"1",,"1",,7.500000,25.000000,2.000000,150.000000,,
298,197038,"1",,"1",,7.500000,20.000000,5.000000,150.000000,,
299,197038,"2",,,,7.500000,30.000000,3.000000,900.000000,,
300,197039,"1",,"1",,7.500000,30.000000,1.000000,250.000000,,
301,197040,"1",,"1",,7.500000,70.000000,35.000000,1550.000000,,
302,197042,"1",,"1",,7.500000,40.000000,3.000000,500.000000,,
303,197043,"1",,"1",,7.500000,60.000000,10.000000,1100.000000,,
304,197044,"1",,"1",,7.500000,60.000000,15.000000,1500.000000,,
305,197045,"1",,"1",,7.500000,60.000000,20.000000,1700.000000,,
306,197046,"1",,"1",,7.500000,25.000000,1.000000,250.000000,,
307,197047,"1",,"1",,7.500000,5.000000,0.000000,20.000000,,
308,197049,"1",,"1",,7.500000,10.000000,1.000000,150.000000,,
309,197050,"1",,"1",,7.500000,60.000000,30.000000,1250.000000,,
310,197051,"1",,"1",,7.500000,40.000000,5.000000,500.000000,,
311,197052,"1",,"1",,7.500000,50.000000,15.000000,1350.000000,,
312,197053,"1",,"1",,7.500000,80.000000,25.000000,1600.000000,,
313,197054,"1",,"1",,7.500000,25.000000,2.000000,200.000000,,
314,197055,"1",,"1",,7.500000,60.000000,20.000000,1600.000000,,
315,197056,"1",,"1",,7.500000,10.000000,1.000000,125.000000,,
316,197057,"1",,"1",,7.500000,20.000000,1.000000,200.000000,,
317,197058,"1",,"1",,7.500000,60.000000,15.000000,1200.000000,,
318,197060,"1",,"1",,7.500000,5.000000,0.000000,150.000000,,
319,197061,"1",,"1",,7.500000,20.000000,1.000000,250.000000,,
320,197062,"1",,,,7.500000,5.000000,2.000000,75.000000,,
321,197062,"2",,"1",,7.500000,50.000000,10.000000,1000.000000,,
322,197063,"1",,"1",,7.500000,40.000000,4.000000,500.000000,,
323,197064,"1",,"1",,7.500000,50.000000,40.000000,1300.000000,,
324,197065,"1",,"1",,7.500000,25.000000,2.000000,250.000000,,
325,197066,"1",,"1",,7.500000,5.000000,0.000000,12.000000,,
326,197067,"1",,"1",,7.500000,50.000000,25.000000,1300.000000,,
327,197068,"1",,"1",,7.500000,50.000000,10.000000,1000.000000,,
328,197069,"1",,"1",,7.500000,50.000000,10.000000,1000.000000,,
329,197070,"1",,"1",,7.500000,40.000000,10.000000,500.000000,,
330,197071,"1",,"1",,7.500000,15.000000,1.000000,150.000000,,
331,197072,"1",,"1",,7.500000,20.000000,1.000000,200.000000,,
332,197073,"1",,"1",,7.500000,50.000000,30.000000,1100.000000,,
333,197074,"1",,"1",,7.500000,50.000000,10.000000,1000.000000,,
334,197075,"1",,"1",,7.500000,15.000000,1.000000,150.000000,,
335,197077,"1",,"1",,7.500000,50.000000,25.000000,1150.000000,,
336,197078,"1",,"1",,7.500000,50.000000,25.000000,1000.000000,,
337,197079,"1",,,,7.500000,3.000000,1.000000,15.000000,,
